epoch,loss,val_loss
0,138.09100341796875,98.30450439453125
1,60.820343017578125,32.392059326171875
2,28.020261764526367,22.232744216918945
3,19.260766983032227,18.285011291503906
4,18.07455062866211,17.984474182128906
5,17.70179557800293,17.651662826538086
6,17.29999351501465,17.303829193115234
7,16.923185348510742,16.983827590942383
8,16.56806182861328,16.60062599182129
9,16.152809143066406,16.282407760620117
10,15.75977897644043,15.926794052124023
11,15.443878173828125,15.59602165222168
12,15.072370529174805,15.421649932861328
13,14.753910064697266,15.025701522827148
14,14.409082412719727,14.751758575439453
15,14.091455459594727,14.4664306640625
16,13.836905479431152,14.263272285461426
17,13.632238388061523,14.031072616577148
18,13.336655616760254,13.885457038879395
19,13.188819885253906,13.758624076843262
20,13.082497596740723,13.673209190368652
21,12.90322208404541,13.752876281738281
22,12.749289512634277,13.506917953491211
23,12.69021224975586,13.47447681427002
24,12.684761047363281,13.853341102600098
25,12.63355827331543,13.453400611877441
26,12.623149871826172,13.698816299438477
27,12.757282257080078,13.427680969238281
28,12.390050888061523,13.326889038085938
29,12.336563110351562,13.28975772857666
30,12.324671745300293,13.30858039855957
31,12.34890365600586,13.600780487060547
32,12.323758125305176,13.35020637512207
33,12.295522689819336,13.278199195861816
34,12.25320053100586,13.25572681427002
35,12.215514183044434,13.244115829467773
36,12.262308120727539,13.246319770812988
37,12.232422828674316,13.434420585632324
38,12.440848350524902,13.223505020141602
39,12.230000495910645,13.375420570373535
40,12.20451545715332,13.329541206359863
41,12.182605743408203,13.292257308959961
42,12.218043327331543,13.232632637023926
43,12.195155143737793,13.257659912109375
44,12.169970512390137,13.294570922851562
45,12.269927024841309,13.214742660522461
46,12.164729118347168,13.229391098022461
47,12.217074394226074,13.267068862915039
48,12.25217056274414,13.589605331420898
49,12.176816940307617,13.340128898620605
50,12.24394416809082,13.33353328704834
51,12.172327995300293,13.342829704284668
52,12.226149559020996,13.353006362915039
53,12.201163291931152,13.294950485229492
54,12.214555740356445,13.532608985900879
55,12.15740966796875,13.329272270202637
56,12.28800106048584,13.220561027526855
57,12.265335083007812,13.401463508605957
58,12.242772102355957,13.27839183807373
59,12.1384916305542,13.308050155639648
60,12.120997428894043,13.282617568969727
61,12.104366302490234,13.234321594238281
62,12.204170227050781,13.316862106323242
63,12.193703651428223,13.203051567077637
64,12.246110916137695,13.200592041015625
65,12.144335746765137,13.244616508483887
66,12.279220581054688,13.166448593139648
67,12.113778114318848,13.288617134094238
